
"","ClSec","7:50-9:30","10:00-10:35","10:45-11:20","11:30-12:05","12:15-12:50","1:45-2:20","","ClSec","7:50-9:30","10:00-10:35","10:45-11:20","11:30-12:05","12:15-12:50","1:00-1:35","1:45-2:20","","ClSec","7:50-9:30","10:00-10:35","10:45-11:20","11:30-12:05","12:15-12:50",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"Monday","XII-A","-","S2","CHEMISTRY","BIOLOGY","PHYSICS","-","","XI-A","-","-","-","-","-","-","-","Monday","X-A","-","ENGLISH","BIOLOGY","MATH","PHYSICS","Monday"
"Friday","XII-A","BIOLOGY","S2","ENGLISH","CHEMISTRY","PHYSICS","-","","XI-A","-","-","-","-","-","-","-","Friday","X-A","2ND LANG","HISTORY","ECO","CIVIC","MATH","Friday"
"XII-B","PHYSICS","S2","ENGLISH","CHEMISTRY","BIOLOGY","-","","XI-B","-","-","-","-","-","-","-","X-B","2ND LANG","ECO","PHYSICS","MATH","ENGLISH"
"XII-C","CHEMISTRY","S2","BIOLOGY","PHYSICS","ENGLISH","-","","XI-C","-","-","-","-","-","-","-","X-C","CHEMISTRY","2ND LANG","ECO","ENGLISH","MATH"
"XII-D","PHYSICS","S2","CHEMISTRY","BIOLOGY","ENGLISH","-","","XI-D","-","-","-","-","-","-","-","X-D","BIOLOGY","PHYSICS","CIVIC","MATH","ECO"
"XII-E","COMP SC","ENGLISH","PHYSICS","MATH","CHEMISTRY","-","","XI-E","-","-","-","-","-","-","-","X-E","GEO","ENGLISH","ECO","BIOLOGY","2ND LANG"
"XII-F","CHEMISTRY","ENGLISH","COMP SC","PHYSICS","MATH","-","","XI-F","-","-","-","-","-","-","-","X-F","CHEMISTRY","BIOLOGY","GEO","ECO","MATH"
"XII-G","ENGLISH","COMP SC","MATH","CHEMISTRY","PHYSICS","-","","XI-G","-","-","-","-","-","-","-","X-G","ENGLISH","HISTORY","BIOLOGY","MATH","CIVIC"
"XII-H","ENGLISH","MATH","CHEMISTRY","PHYSICS","COMP SC","-","","XI-H","-","-","-","-","-","-","-","X-H","HISTORY","PHYSICS","MATH","2ND LANG","ENGLISH"
"XII-I","PHYSICS","CHEMISTRY","MATH","COMP SC","ENGLISH","-","","XI-I","-","-","-","-","-","-","-","X-I","MATH","ENGLISH","CIVIC","PHYSICS","2ND LANG"
"XII-J","CHEMISTRY","ENGLISH","PHYSICS","MATH","COMP SC","-","","XI-J","-","-","-","-","-","-","-","X-J","ECO","BIOLOGY","ENGLISH","MATH","CHEMISTRY"
"XII-K","ENGLISH","S2/APPLIED MATH","S5","S3","S4","PE","","XI-K","-","-","-","-","-","-","-","X-K","PHYSICS","2ND LANG","BIOLOGY","ENGLISH","ECO"
"XII-L","COMP","PHYSICS","ENGLISH","CHEMISTRY","MATH","-","","XI-L","-","-","-","-","-","-","-","X-L","CHEMISTRY","CIVIC","HISTORY","2ND LANG","MATH"
"XII-M","MATH","ENGLISH","PHYSICS","ECO","CHEMISTRY","-","","XI-M","-","-","-","-","-","-","-","X-M","ENGLISH","GEO","CIVIC","MATH","BIOLOGY"
"XII-N","MATH","PHYSICS","ENGLISH","ECO","CHEMISTRY","-","","XI-N","-","-","-","-","-","-","-","X-N","ECO","BIOLOGY","2ND LANG","MATH","ENGLISH"
"XII-O","PE","CHEMISTRY","MATH","ENGLISH","PHYSICS","-","","XI-O","-","-","-","-","-","-","-","X-O","PHYSICS","MATH","BIOLOGY","CHEMISTRY","2ND LANG"
"XII-P","ECO","MATH","ENGLISH","ACCOUNTS","B.ST","PE","","XI-P","-","-","-","-","-","-","-","","","","","",""
"XII-Q","B.ST","MATH","ACCOUNTS","ENGLISH","ECO","PE","","XI-Q","-","-","-","-","-","-","-","","","","","",""
"XII-R","ACC.","MATH/APPLIED MATH","B.ST","ENGLISH","ECO","PE","","XI-R","-","-","-","-","-","-","-","","","","","",""
"XII-S","ENGLISH","MATH/APPLIED MATH","ACCOUNTS","ECO","B.ST","PE","","XI-S","-","-","-","-","-","-","-","","","","","",""
"XII-T","B.ST","MATH/APPLIED MATH","ACCOUNTS","ENGLISH","ECO","PE","","XI-T","-","-","-","-","-","-","-","","","","","",""
"XII-U","ENGLISH","S2/APPLIED MATH","S5","S3","S4","PE","","XI-U","-","-","-","-","-","-","-","","","","","",""
"XII-V","ENGLISH","S2/APPLIED MATH","S5","S3","S4","PE","","XI-V","-","-","-","-","-","-","-","","","","","",""
"XII-W","ENGLISH","S2/APPLIED MATH","S5","S3","S4","-","","XI-W","-","-","-","-","-","-","-","","","","","",""
"XII-X","ENGLISH","S2/APPLIED MATH","S5","S3","S4","PE","","","","","","","","","","","","","","",""
"","","123","124","124","124","124","","","","119","120","119","119","119","119","115","","79","79","79","79","79","79",""
